,rank,names,nationality,gender,age_category,time,race
0,1,Jim WALMSLEY,United States of america,Men,35-39,05:00:35,OCC
1,2,Cristian MINOGGIO,Italy,Men,40-44,05:00:55,OCC
2,3,Andrzej WITEK,Poland,Men,20-34,05:04:08,OCC
3,4,Petter ENGDAHL,Sweden,Men,20-34,05:05:08,OCC
4,5,Kristian JONES,United Kingdom,Men,20-34,05:05:50,OCC
5,6,Adam PETERMAN,United States of america,Men,20-34,05:06:19,OCC
6,7,Luca DEL PERO,Italy,Men,20-34,05:07:46,OCC
7,8,Antonio MARTINEZ PEREZ,Spain,Men,20-34,05:10:21,OCC
8,9,David NORRIS,United States of america,Men,35-39,05:12:33,OCC
9,10,Sam HENDRY,Canada,Men,20-34,05:17:43,OCC
10,11,Ezekiel RUTTO,Kenya,Men,35-39,05:19:42,OCC
11,12,Claudio DIAZ CASTAN,Spain,Men,20-34,05:20:03,OCC
12,13,Samuel PONCE,Andorra,Men,20-34,05:20:46,OCC
13,14,Damian BOGDAN,Romania,Men,35-39,05:22:23,OCC
14,15,Cade MICHAEL,United States of america,Men,20-34,05:24:06,OCC
15,16,Joaquin NARVAEZ,Argentina,Men,35-39,05:24:56,OCC
16,17,Dimas PEREIRA OBAYA,Spain,Men,20-34,05:25:58,OCC
17,18,Tomas MACECEK,Czech Republic,Men,20-34,05:26:01,OCC
18,19,Clovis CHAVEROT,France,Men,20-34,05:26:02,OCC
19,20,Nicolas Ignacio BENAVIDES BOHLE,Chile,Men,20-34,05:28:09,OCC
20,21,Marcos RAMOS-GONZALEZ,Spain,Men,35-39,05:29:05,OCC
21,22,Genis PORQUERAS,Spain,Men,20-34,05:29:44,OCC
22,23,Erqing WU,China,Men,20-34,05:30:16,OCC
23,24,Fredrik BRUSETH TORELI,Norway,Men,20-34,05:30:36,OCC
24,25,Raul Octaviu BUTACI,Romania,Men,40-44,05:31:44,OCC
25,26,Paul IRATZOQUY,France,Men,20-34,05:33:52,OCC
26,27,Joyline CHEPNGENO,Kenya,Women,20-34,05:34:03,OCC
27,28,Marc BERNADES OLLÉ,Spain,Men,35-39,05:34:35,OCC
28,29,Miao YAO,China,Women,20-34,05:35:13,OCC
29,30,Davide DELLA MINA,Italy,Men,20-34,05:37:34,OCC
30,31,Clement DURANCE,France,Men,35-39,05:38:11,OCC
31,32,Judith WYDER,Switzerland,Women,35-39,05:38:22,OCC
32,33,Ludvik FERNANDES,France,Men,20-34,05:38:34,OCC
33,34,Tait HEARPS,Australia,Men,20-34,05:39:41,OCC
34,35,Joaquin LOPEZ,Ecuador,Men,20-34,05:41:16,OCC
35,36,Þorbergur JONSSON (Borbergur JONSSON),Iceland,Men,40-44,05:41:24,OCC
36,37,Dylan HUMBERGER,United States of america,Men,20-34,05:44:01,OCC
37,38,Tao LUO,China,Men,20-34,05:45:21,OCC
38,39,Maude MATHYS,Switzerland,Women,35-39,05:45:43,OCC
39,40,Hans-Peter INNERHOFER,Austria,Men,20-34,05:46:02,OCC
40,41,John Ray ONIFA,Philippines,Men,20-34,05:46:52,OCC
41,42,Alberto GARCIA VADILLO,Spain,Men,20-34,05:47:10,OCC
42,43,Luis VALLE BARRIENTOS,Chile,Men,35-39,05:48:33,OCC
43,44,Diego Ramon SIMON,Argentina,Men,35-39,05:48:46,OCC
