,rank,names,nationality,gender,age_category,time,race
0,1,Francesco PUPPI,Italy,Men,20-34,10:06:02,CCC
1,2,David SINCLAIR,United States of america,Men,20-34,10:13:42,CCC
2,3,Drew HOLMEN,United States of america,Men,20-34,10:16:15,CCC
3,4,Arnaud BONIN,France,Men,40-44,10:26:03,CCC
4,5,Jeshurun SMALL,United States of america,Men,20-34,10:28:57,CCC
5,6,Guangfu MENG,China,Men,20-34,10:31:36,CCC
6,7,Eli HEMMING,United States of america,Men,20-34,10:34:36,CCC
7,8,Loic ROLLAND,France,Men,20-34,10:36:41,CCC
8,9,Mario OLMEDO SANCHA,Spain,Men,20-34,10:40:19,CCC
9,10,Guidu QIN,China,Men,20-34,10:43:24,CCC
10,11,Andreas REITERER,Italy,Men,20-34,10:51:24,CCC
11,12,Canhua LUO,China,Men,20-34,10:56:26,CCC
12,13,Nicholas HANDEL,United States of america,Men,20-34,10:57:06,CCC
13,14,Morten ANTONSEN,Norway,Men,20-34,10:59:46,CCC
14,15,Anthony COSTALES,United States of america,Men,35-39,11:01:36,CCC
15,16,Andreas RIEDER,Austria,Men,35-39,11:03:16,CCC
16,17,Davide CHERAZ,Italy,Men,20-34,11:08:13,CCC
17,18,Stian DAHL SOMMERSETH,Norway,Men,20-34,11:09:13,CCC
18,19,Simon PACCARD,France,Men,20-34,11:11:49,CCC
19,20,Andreu SIMON AYMERICH,Spain,Men,20-34,11:15:25,CCC
20,21,Marcin RZESZOTKO,Poland,Men,35-39,11:18:56,CCC
21,22,Patrick EHRENTHALER,Germany,Men,35-39,11:21:28,CCC
22,23,Dimitri MOREL-JEAN,France,Men,20-34,11:23:01,CCC
23,24,Thibault LEROY,France,Men,20-34,11:24:39,CCC
24,25,Matthieu SIMON,France,Men,20-34,11:24:40,CCC
25,26,Dan GREEN,United States of america,Men,20-34,11:32:30,CCC
26,27,Janosch KOWALCZYK,Germany,Men,35-39,11:34:43,CCC
27,28,Martyna MLYNARCZYK,Poland,Women,35-39,11:41:55,CCC
28,29,Sylvia NORDSKAR,Norway,Women,20-34,11:42:13,CCC
29,30,Anna TARASOVA,Spain,Women,40-44,11:44:18,CCC
30,31,Jupiter CARERA CASAS,Mexico,Men,20-34,11:47:53,CCC
31,32,Hector RODRIGUEZ,Mexico,Men,20-34,11:49:35,CCC
32,33,Albert GARCIA-MONZO,Spain,Men,20-34,11:51:02,CCC
33,34,Patricio GONZALEZ,Argentina,Men,20-34,11:51:24,CCC
34,35,Blandine L HIRONDEL,France,Women,20-34,11:53:31,CCC
35,36,Eric LIPUMA,United States of america,Men,20-34,11:53:40,CCC
36,36,Mead BINHAMMER,United States of america,Men,20-34,11:53:40,CCC
37,38,Aymeric DAMOUR,France,Men,20-34,11:57:22,CCC
38,39,Veronika LENG,Slovakia,Women,35-39,12:00:27,CCC
39,40,Hugo DECK,France,Men,20-34,12:01:31,CCC
40,41,Lotti BRINKS,United States of america,Women,20-34,12:02:23,CCC
41,42,Harry JONES,United Kingdom,Men,35-39,12:03:25,CCC
42,43,Gordon GIANNINY,United States of america,Men,20-34,12:03:52,CCC
43,44,Jules GERBER,France,Men,20-34,12:08:30,CCC
44,45,Cornelio CIPRIÁN,Guatemala,Men,35-39,12:10:34,CCC
45,46,Benoit GAILLARD,France,Men,40-44,12:14:51,CCC
46,47,Robyn LESH,United States of america,Women,20-34,12:16:10,CCC
47,48,Song LI,China,Men,35-39,12:23:08,CCC
48,49,Julie ROUX,France,Women,20-34,12:24:18,CCC
49,50,Nick HIRDT,United States of america,Men,20-34,12:28:50,CCC
50,51,Christophe PERRILLAT,France,Men,45-49,12:30:00,CCC
51,52,Zach HAUER,United States of america,Men,35-39,12:35:38,CCC
52,53,Nawang TSERING,India,Men,20-34,12:37:39,CCC
53,54,Viktor STENQVIST,Sweden,Men,35-39,12:38:15,CCC
54,55,Ruddy TROBRILLANT,France,Men,20-34,12:40:56,CCC
55,56,Jingyan TANG,China,Women,20-34,12:42:54,CCC
56,57,Allison BACA,United States of america,Women,35-39,12:44:05,CCC
57,58,Elia STEVENIN,Italy,Men,20-34,12:45:17,CCC
58,59,Jeremy ARBORE,France,Men,20-34,12:45:22,CCC
59,60,Minchul KO,South Korea,Men,35-39,12:45:30,CCC
60,61,Giuditta TURINI,Italy,Women,35-39,12:46:07,CCC
61,62,Luke GRENFELL-SHAW,United Kingdom,Men,20-34,12:49:26,CCC
62,63,Eleanor DAVIS,United Kingdom,Women,35-39,12:49:56,CCC
63,64,Fuzhao XIANG,China,Women,20-34,12:53:01,CCC
64,65,Lea DUHET,France,Women,20-34,12:54:01,CCC
65,66,Joshua CHUGG,Australia,Men,40-44,12:59:42,CCC
