,rank,names,nationality,gender,age_category,time,race
0,1,Alain SANTAMARIA BLANCO,Spain,Men,20-34,01:21:07,ETC
1,2,Cesare MAESTRI,Italy,Men,20-34,01:22:23,ETC
2,3,Maximilien DRION,Belgium,Men,20-34,01:23:36,ETC
3,4,Alberto VENDER,Italy,Men,20-34,01:24:42,ETC
4,5,Remi LEROUX,Canada,Men,20-34,01:25:10,ETC
5,6,Gianluca GHIANO,Italy,Men,20-34,01:25:40,ETC
6,7,Tibère DEBIZET,France,Men,20-34,01:25:45,ETC
7,8,Finlay GRANT,United Kingdom,Men,20-34,01:25:51,ETC
8,9,Daniel CURTS,United States of america,Men,20-34,01:25:56,ETC
9,10,Romain DISCHER,France,Men,20-34,01:26:01,ETC
10,11,Maël HENRIC,France,Men,20-34,01:26:15,ETC
11,12,Quentin MEYLEU,France,Men,20-34,01:27:17,ETC
12,13,Adrian IVARS,Spain,Men,20-34,01:27:21,ETC
13,14,Dominik TABOR,Poland,Men,20-34,01:27:24,ETC
14,15,Francesco CESCHI,Switzerland,Men,20-34,01:27:32,ETC
15,16,Isacco COSTA,Italy,Men,20-34,01:28:11,ETC
16,17,Aniol PUJIULA COLOM,Spain,Men,20-34,01:28:19,ETC
17,18,Ryunosuke OMI,Japan,Men,20-34,01:28:45,ETC
18,19,Jules MONGELLAZ,France,Men,20-34,01:29:54,ETC
19,20,Simone GIOLITTI,Italy,Men,20-34,01:30:04,ETC
20,21,Finn LYDON,United Kingdom,Men,20-34,01:30:24,ETC
21,22,Ïu NET PUIG (Iu NET PUIG),Spain,Men,20-34,01:30:30,ETC
22,23,Johannes NUSSBAUMER,Austria,Men,20-34,01:30:31,ETC
23,24,Lukas EHRLE,Germany,Men,20-34,01:30:38,ETC
24,25,Moritz AUF DER HEIDE,Germany,Men,35-39,01:30:48,ETC
25,26,Madalina FLOREA,Romania,Women,20-34,01:30:55,ETC
26,27,Jan MARGARIT SOLE,Spain,Men,20-34,01:32:23,ETC
27,28,Harris PAGETT,United Kingdom,Men,20-34,01:32:57,ETC
28,29,Ross GOLLAN,United Kingdom,Men,20-34,01:33:38,ETC
29,30,Francesco BONGIO,Italy,Men,20-34,01:33:50,ETC
30,31,Jean HUDRY,France,Men,20-34,01:34:07,ETC
31,32,Louis RÉGENNASS,France,Men,20-34,01:34:32,ETC
32,33,Jules BARRIOD,France,Men,20-34,01:36:41,ETC
33,34,Jake COLLIER,United Kingdom,Men,20-34,01:36:49,ETC
34,35,Julen OLAIZOLA IZAGUIRRE,Spain,Men,35-39,01:37:04,ETC
35,36,Guillaume LHERISSON,France,Men,20-34,01:37:15,ETC
36,37,MARIA FUENTES,Spain,Women,35-39,01:37:18,ETC
37,38,Enzo DE PIZZOL,France,Men,20-34,01:37:31,ETC
38,39,Mathis DELMAS,France,Men,20-34,01:37:59,ETC
39,40,Eduardo HERNANDEZ,Spain,Men,20-34,01:38:11,ETC
40,41,Naomi LANG,United Kingdom,Women,20-34,01:38:17,ETC
41,42,Romain CHAMPENOIS,France,Men,20-34,01:38:19,ETC
42,43,Ronny BØRSHEIM,Norway,Men,40-44,01:38:38,ETC
43,44,Cyprien AILLET,France,Men,20-34,01:38:44,ETC
44,45,Benoit GALLI,France,Men,20-34,01:38:45,ETC
45,46,Lok Yin LO,"Hong Kong, China",Men,20-34,01:38:48,ETC
46,47,Fabian VENERO JIMENEZ,Spain,Men,20-34,01:39:04,ETC
47,48,Julie LELONG,France,Women,20-34,01:39:31,ETC
48,49,Simon BIBOLLET,France,Men,20-34,01:39:53,ETC
49,50,Elise PONCET,France,Women,20-34,01:40:04,ETC
50,51,Robert RORICH,South Africa,Men,20-34,01:40:31,ETC
51,52,Aurélien JEGOU,France,Men,20-34,01:40:53,ETC
52,53,Naiara IRIGOYEN,Spain,Women,20-34,01:41:02,ETC
53,54,Marie NIVET,France,Women,20-34,01:41:12,ETC
54,55,Anna HOFER,Italy,Women,20-34,01:42:24,ETC
55,56,Matéo SERURIER,France,Men,20-34,01:42:56,ETC
56,57,Jon RAZKIN TXURRUKA,Spain,Men,20-34,01:43:14,ETC
57,58,Fabien JAFFRE,France,Men,20-34,01:43:20,ETC
58,59,Jessica BRAZEAU,United States of america,Women,20-34,01:44:08,ETC
59,60,Martina CUMERLATO,Italy,Women,20-34,01:44:37,ETC
60,61,Francisco Javier TEJONERO VALDÉS,Spain,Men,20-34,01:44:50,ETC
61,62,Adrian VOS PEREZ,Spain,Men,20-34,01:45:08,ETC
62,63,Cyrian SILHOL,France,Men,20-34,01:45:53,ETC
63,64,Pep MIRABET,Spain,Men,20-34,01:46:26,ETC
64,65,Lleïr BARCONS COMAPOSADA,Spain,Men,20-34,01:47:03,ETC
65,66,Dalia ALONSO PEDRENO,Spain,Women,20-34,01:47:14,ETC
66,67,Nils PONTAROLLO,France,Men,20-34,01:47:18,ETC
67,68,Nicolas FAIVRE,France,Men,20-34,01:47:32,ETC
68,69,Axelle VICARI,Italy,Women,20-34,01:47:48,ETC
69,70,Nathan PEARCE,Australia,Men,20-34,01:48:00,ETC
70,70,Albin GEZELIUS,Sweden,Men,20-34,01:48:00,ETC
71,72,Samuel CHABRIER,France,Men,20-34,01:48:34,ETC
72,73,Thomas HOCQUETTE,France,Men,20-34,01:48:50,ETC
73,74,Rebecca KOHNE,South Africa,Women,20-34,01:49:20,ETC
74,75,Robin JEANNIN,France,Men,20-34,01:49:26,ETC
75,76,Baptiste TALOUD,France,Men,20-34,01:49:35,ETC
76,77,Jessie SPEEDY,New Zealand,Women,20-34,01:49:51,ETC
77,78,Pierre Andre RAMUZ,Switzerland,Men,45-49,01:49:56,ETC
78,79,Jeremie ROSSETTO,France,Men,35-39,01:50:05,ETC
79,80,Gediminas VILIŪNAS,Lithuania,Men,20-34,01:50:10,ETC
80,81,Sophie MASCHI,Italy,Women,35-39,01:50:12,ETC
81,82,Greta GARCÍA MORÁN,Spain,Women,20-34,01:50:17,ETC
82,83,Claudia CORRAL HODAR,Spain,Women,20-34,01:50:18,ETC
83,84,Charline BISE,France,Women,20-34,01:50:29,ETC
84,85,Flavia VAN DER ZON,Switzerland,Women,20-34,01:50:47,ETC
85,86,Jonathon DOWNEY,United Kingdom,Men,20-34,01:51:46,ETC
86,87,David SILVA,Portugal,Men,20-34,01:52:08,ETC
87,88,Sebastien SOTOCA,France,Men,20-34,01:52:41,ETC
