,rank,names,nationality,gender,age_category,time,race
0,1,Antoine CHARVOLIN,France,Men,20-34,18:22:17,TDS
1,2,Gautier AIRIAU,France,Men,20-34,18:28:04,TDS
2,3,Leo ROGAUME,France,Men,20-34,18:39:21,TDS
3,4,Matis LERAY,France,Men,20-34,19:41:58,TDS
4,5,Daniël CLAASSEN,South Africa,Men,20-34,19:51:19,TDS
5,6,Pau CAPELL,Spain,Men,20-34,20:02:15,TDS
6,7,Thibault ATHANÉ,France,Men,20-34,20:13:47,TDS
7,7,Patrick BRINGER,France,Men,50-54,20:13:47,TDS
8,9,Pierre-Adrien HIVERT,France,Men,20-34,20:40:28,TDS
9,10,Martin FRANCOU,France,Men,40-44,21:02:31,TDS
10,11,Martin KERN,France,Men,35-39,21:06:23,TDS
11,12,Diego PAZOS,Switzerland,Men,40-44,21:10:02,TDS
12,13,Mael BURES,France,Men,20-34,21:10:03,TDS
13,14,Luis FERNANDES,Portugal,Men,35-39,21:12:23,TDS
14,15,Mathieu CLEMENT,Switzerland,Men,20-34,21:18:30,TDS
15,16,Sebastien LEDAY,France,Men,35-39,21:18:34,TDS
16,17,Pablo NADALEZ,Argentina,Men,35-39,21:22:59,TDS
17,18,Vincent CHESSEX,Switzerland,Men,20-34,21:32:48,TDS
18,19,Arnaud LEJEUNE,France,Men,45-49,21:56:33,TDS
19,20,Antoine THIRIAT,France,Men,20-34,22:01:36,TDS
20,21,Jhon BARRERA,Colombia,Men,40-44,22:05:08,TDS
21,22,Baptiste CARIMENTRAND,France,Men,45-49,22:07:25,TDS
22,23,Ethan PETERS,Canada,Men,20-34,22:11:14,TDS
23,24,Nicolas MORDELET,France,Men,20-34,22:22:05,TDS
24,25,Matthieu MELON,France,Men,20-34,22:36:04,TDS
25,26,Matthieu DEVILLE CAVELLIN,France,Men,35-39,22:42:47,TDS
26,27,Louis DESPRES,France,Men,20-34,22:43:44,TDS
27,28,Florent VANTARD,France,Men,40-44,22:51:43,TDS
28,29,Majell BACKHAUSEN,Australia,Men,35-39,22:53:38,TDS
29,30,Florent NEYRON,France,Men,35-39,22:55:46,TDS
30,31,Careth ARNOLD,United States of america,Women,35-39,22:58:52,TDS
31,32,Côme DE LONGVILLIERS,France,Men,20-34,23:09:10,TDS
32,33,Adrien JACQUES,France,Men,20-34,23:09:33,TDS
33,34,Florian VERISSIMO,France,Men,20-34,23:10:45,TDS
34,35,Benoit DOULS,France,Men,35-39,23:11:16,TDS
35,36,Clement JAMBOU,France,Men,20-34,23:12:05,TDS
36,37,Erik SOLLIEN,Norway,Men,20-34,23:14:38,TDS
37,38,Patrice FRISON-ROCHE,France,Men,40-44,23:16:48,TDS
38,39,Guillaume PERROT,France,Men,20-34,23:23:27,TDS
39,40,Jérémie ROUSSINET,France,Men,40-44,23:29:09,TDS
40,41,Ronan CALLET,France,Men,20-34,23:41:12,TDS
41,42,Quentin AUVINET,France,Men,20-34,23:41:58,TDS
42,43,Pierre REYGADE,France,Men,20-34,23:46:35,TDS
43,44,Geoffrey ROCHA,France,Men,35-39,23:48:05,TDS
44,45,Camille DUBOIS,France,Men,20-34,23:48:43,TDS
45,46,Justin JOUADÉ,France,Men,20-34,23:48:50,TDS
46,47,Axel ARNAUD,France,Men,20-34,23:52:15,TDS
47,48,Blake SLATTENGREN,United States of america,Men,20-34,23:54:56,TDS
48,49,Leo ROBLIN,France,Men,20-34,24:06:49,TDS
49,50,Gonzalo INZAURRALDE,Uruguay,Men,20-34,24:10:14,TDS
50,51,Guillaume SALMON,France,Men,20-34,24:13:21,TDS
51,52,Rémy GINESTE,France,Men,20-34,24:18:50,TDS
52,53,Jérome EVEQUE-MOURROUX,France,Men,45-49,24:22:32,TDS
53,54,Hélène DASSY,Belgium,Women,20-34,24:23:23,TDS
54,55,Emmanuel GAIGIER,France,Men,20-34,24:23:47,TDS
55,56,Damien LOITRON,France,Men,35-39,24:27:57,TDS
56,57,Florent WALBRECQ,Belgium,Men,35-39,24:44:08,TDS
57,58,Yaneck AGIER,France,Men,20-34,24:45:30,TDS
58,59,Loïs DA-COL,France,Men,20-34,24:51:48,TDS
59,60,Arthur GAUDAIRE,France,Men,20-34,24:52:29,TDS
60,61,Alexandre BOUCHEIX,France,Men,20-34,24:54:41,TDS
61,62,Benjamin HAMON,France,Men,20-34,24:56:52,TDS
62,63,Peng LIU,China,Men,20-34,25:00:38,TDS
63,64,Erwan BARRET,France,Men,20-34,25:02:37,TDS
64,65,Maxime BARANZELLI,France,Men,20-34,25:07:11,TDS
65,66,Elise DELANNOY,France,Women,40-44,25:18:45,TDS
66,67,Glenn RAVARD,France,Men,20-34,25:21:04,TDS
67,68,Clément FONTENAY,France,Men,20-34,25:24:32,TDS
68,69,Paul MEDOUS,France,Men,35-39,25:24:33,TDS
69,70,Julien OLIVAR CALVO,France,Men,35-39,25:24:34,TDS
70,71,Luisa DEMATTEIS,Italy,Women,40-44,25:26:45,TDS
71,72,Gregory GUALANDI,France,Men,40-44,25:27:57,TDS
72,73,Thomas MAHO,France,Men,35-39,25:28:19,TDS
73,74,Gerard MORALES,Spain,Men,50-54,25:29:37,TDS
74,75,Patrick STANGBYE,Norway,Men,35-39,25:38:43,TDS
75,76,Remi THIVOLLE,France,Men,20-34,25:40:00,TDS
76,77,Emily VAUDAN,Switzerland,Women,40-44,25:40:35,TDS
77,78,Arthur ARNAUD,France,Men,20-34,25:48:13,TDS
78,79,Irvin MATH,France,Men,20-34,25:54:07,TDS
79,80,Colin MALÉCOT,France,Men,20-34,26:01:03,TDS
80,81,Adrian WITEK,Poland,Men,35-39,26:02:29,TDS
81,82,Mateusz PIĄTEK,Poland,Men,20-34,26:03:50,TDS
82,83,Thorsten REICHERT,Germany,Men,35-39,26:05:23,TDS
83,84,Antoine MONTECOT,France,Men,50-54,26:07:10,TDS
84,85,Gvido KALNINS,Latvia,Men,20-34,26:16:48,TDS
85,86,Alexis BARON,France,Men,20-34,26:18:38,TDS
86,87,Michael NANASZKO,United States of america,Men,40-44,26:19:02,TDS
87,88,Magdalena KRASZPULSKA,Poland,Women,35-39,26:19:18,TDS
88,89,Gauthier LALEURE,France,Men,20-34,26:20:48,TDS
89,90,Thibaut ARNAUD,France,Men,20-34,26:20:49,TDS
90,91,Dario TROVATELLI,Switzerland,Men,20-34,26:22:44,TDS
91,92,Valentin PIQUES,France,Men,20-34,26:22:56,TDS
92,93,Jean-Marie DIVERREZ,France,Men,50-54,26:22:58,TDS
93,94,Theophile MEUNIER,France,Men,20-34,26:24:46,TDS
94,95,Corentin MODAINE,France,Men,20-34,26:25:48,TDS
95,96,Renaud ANSELME,Belgium,Men,20-34,26:26:06,TDS
96,97,Mathis HAVARD,France,Men,20-34,26:29:44,TDS
97,98,Edouard STAVAUX,France,Men,35-39,26:31:06,TDS
98,99,Wall PINCON,France,Men,20-34,26:33:00,TDS
99,100,Elio COLOMBINO,France,Men,20-34,26:33:51,TDS
100,101,Frederic PRADON,France,Men,45-49,26:34:28,TDS
101,102,Martin ROUSSET,France,Men,35-39,26:37:56,TDS
102,103,Pierre PICHETTO,France,Men,35-39,26:37:57,TDS
103,104,Anthony THUNUS,Belgium,Men,40-44,26:45:05,TDS
104,105,Francesc MARTIN TORO,Spain,Men,40-44,26:46:03,TDS
105,106,Naoki TANAKA,Japan,Men,45-49,26:47:48,TDS
106,107,Benjamin DE NARP,France,Men,35-39,26:49:22,TDS
107,108,Michael ZEIDAN,United Kingdom,Men,45-49,26:54:20,TDS
108,109,Hubert WURTH,France,Men,35-39,26:54:43,TDS
109,110,Geoffroy DALENS,France,Men,20-34,26:58:34,TDS
110,111,Nicolas CLARAZ,France,Men,40-44,27:00:30,TDS
111,112,Nicolas LAHAYE,France,Men,35-39,27:00:48,TDS
112,113,Lucas MOSKAU,Germany,Men,20-34,27:03:38,TDS
113,114,Martin STEINDL,Austria,Men,40-44,27:04:14,TDS
114,115,Michał KOCHANOWSKI,Poland,Men,35-39,27:04:53,TDS
115,116,David GONZALEZ LLERA,Spain,Men,40-44,27:05:53,TDS
116,117,Alexandre MAHISTRE,France,Men,20-34,27:07:24,TDS
117,118,Benjamin SEGUELAS,France,Men,35-39,27:08:25,TDS
118,119,Isaac Federico NIMER ECHAVE,Argentina,Men,40-44,27:09:46,TDS
119,120,Matías VIOTTI,Argentina,Men,35-39,27:09:47,TDS
120,121,Thomas BUIRON,France,Men,20-34,27:11:08,TDS
121,122,Swann BREDIN,France,Men,35-39,27:11:25,TDS
122,123,Romain DAMIANI,France,Men,35-39,27:11:54,TDS
123,124,Edouard DOSSOT,France,Men,20-34,27:19:45,TDS
124,125,Jendrik BÄRHAUSEN,Germany,Men,40-44,27:21:51,TDS
125,126,Adam ARMATA,Poland,Men,45-49,27:21:52,TDS
126,127,Byron YODER,United States of america,Men,40-44,27:25:22,TDS
127,128,Julianne DICKERSON,United States of america,Women,35-39,27:26:07,TDS
128,129,Mathieu SUAREZ,France,Men,35-39,27:28:03,TDS
129,130,Nathan SIGAUD,France,Men,20-34,27:28:33,TDS
130,131,Malo THOMAS,France,Men,20-34,27:29:39,TDS
131,132,Roy VAN SON,Netherlands,Men,50-54,27:32:44,TDS
132,133,Fabio FERROD,Italy,Men,20-34,27:33:24,TDS
133,134,Conny KARLSTEDT,Germany,Men,40-44,27:33:34,TDS
134,135,Luke NOLAN,Ireland,Men,40-44,27:34:06,TDS
135,136,Guillaume GRASSET,France,Men,35-39,27:35:17,TDS
136,137,Yann MORELLO,France,Men,20-34,27:36:23,TDS
137,138,Jacques CHEN,France,Men,20-34,27:38:51,TDS
138,139,Antoine BOUDINET,France,Men,20-34,27:39:13,TDS
139,140,Guillaume DUSSUYER,France,Men,20-34,27:40:37,TDS
140,141,Thomas GAUDINAUD,France,Men,35-39,27:40:54,TDS
141,142,Jeremy PELEGRIN,France,Men,35-39,27:41:27,TDS
142,143,Karolina WIERZCHOWIAK,Poland,Women,20-34,27:43:28,TDS
143,144,Nicolas CHEREL,France,Men,20-34,27:43:38,TDS
144,145,Louis CENSIER,France,Men,20-34,27:47:13,TDS
145,146,Clement LANGEARD,France,Men,20-34,27:47:34,TDS
146,147,Florian ROIRON,France,Men,20-34,27:48:56,TDS
147,148,Julien PICAVET,France,Men,40-44,27:52:00,TDS
148,149,Sven VAN OTTEN,Belgium,Men,45-49,27:55:00,TDS
149,149,Barnabé PIETTE,Belgium,Men,20-34,27:55:00,TDS
150,151,Carlo LACKNER,Germany,Men,20-34,27:56:04,TDS
151,152,Pierre BOITTIN,France,Men,35-39,27:56:39,TDS
152,153,Kevin RANCIERE,France,Men,20-34,28:01:49,TDS
153,154,Antoine MONNOT,France,Men,20-34,28:11:11,TDS
154,155,Xavier MEZIERE,France,Men,45-49,28:11:33,TDS
155,156,Julian SCHULZ,Australia,Men,20-34,28:12:30,TDS
156,157,Geoffrey MERLE,France,Men,35-39,28:14:37,TDS
157,158,Matteo LECLERC,France,Men,20-34,28:17:03,TDS
158,159,Fabio SILVA,Portugal,Men,20-34,28:17:25,TDS
159,160,Olivier KARAFA,France,Men,60-64,28:18:17,TDS
160,161,Dragos MUNTEANU,Romania,Men,35-39,28:18:36,TDS
161,162,Pierre-Louis GONIN,Switzerland,Men,20-34,28:21:07,TDS
162,163,Christophe HUDRY,France,Men,20-34,28:24:52,TDS
163,164,Nicolas BLANC,France,Men,35-39,28:26:24,TDS
164,165,Matteo BALOCCO,Italy,Men,35-39,28:36:05,TDS
165,166,Hugo DORBES,France,Men,20-34,28:40:21,TDS
166,167,Matthieu BRUNET,France,Men,35-39,28:40:29,TDS
167,168,Stefano CASON,Italy,Men,55-59,28:41:27,TDS
168,169,Damien GOUBIN,France,Men,20-34,28:42:09,TDS
169,170,Daiki SATO,Japan,Men,45-49,28:42:36,TDS
170,171,Geoffrey BEIL,France,Men,35-39,28:42:46,TDS
171,172,Yasmina CASTRO CHACON,Spain,Women,20-34,28:43:16,TDS
172,173,Matthieu LOETSCHER,France,Men,35-39,28:43:24,TDS
173,174,Cyrielle BARONI,France,Women,40-44,28:43:26,TDS
174,175,Sébastien BROVARNIK,France,Men,50-54,28:43:48,TDS
175,176,Jonathan GAUDIN,France,Men,35-39,28:47:35,TDS
176,177,Hulda Elma EYSTEINSDOTTIR,Iceland,Women,40-44,28:48:33,TDS
177,178,Slavomír SLEZAK,Slovakia,Men,45-49,28:49:53,TDS
178,179,Tony CAUVIN,France,Men,35-39,28:52:13,TDS
179,180,Jonathan RAVARD,France,Men,35-39,28:54:23,TDS
180,181,Sarah NAPIWOTZKI,Germany,Women,20-34,28:55:04,TDS
181,182,Romain CASTIGLIA,France,Men,40-44,28:57:55,TDS
182,183,Thibaut LASSALLE,France,Men,20-34,28:59:03,TDS
183,184,Roman VOGT,Germany,Men,45-49,28:59:35,TDS
184,185,Philippe QUINCY,France,Men,50-54,28:59:49,TDS
185,186,Jonathan CATTIN,France,Men,35-39,29:01:42,TDS
186,187,Lyndon COOPER,United Kingdom,Men,40-44,29:02:33,TDS
187,188,Balázs LESKÓ,Hungary,Men,40-44,29:04:33,TDS
